age,job,marital,education,balance,day,month,duration,campaign,pdays,previous,outcome,y
32,student,divorced,tertiary,58309,16,aug,3507,3,4,1,unknown,yes
46,blue-collar,married,secondary,41237,5,nov,2559,3,3,7,failure,yes
50,unemployed,divorced,primary,33732,16,oct,1338,3,0,4,failure,yes
44,admin,divorced,secondary,6104,24,apr,4637,3,7,1,failure,yes
53,retired,married,secondary,81230,12,sep,612,2,27,0,unknown,no
46,admin,divorced,primary,88266,6,oct,4995,6,8,1,unknown,yes
55,retired,married,secondary,32980,30,apr,1884,3,6,0,unknown,yes
74,unemployed,single,primary,72990,5,aug,4024,1,29,9,success,no
44,student,single,secondary,37560,1,jun,3134,9,23,9,failure,no
72,management,single,primary,7554,19,may,1055,6,25,2,failure,yes
50,blue-collar,divorced,tertiary,89049,10,apr,1622,6,4,2,success,yes
85,blue-collar,single,tertiary,43987,25,may,3282,9,3,9,success,no
83,blue-collar,married,secondary,28985,14,nov,2610,2,19,0,success,yes
27,student,single,tertiary,88298,25,jan,3069,9,16,6,success,no
22,retired,single,primary,46167,21,jul,1255,3,25,9,failure,no
91,unemployed,divorced,secondary,38428,3,aug,2660,3,18,6,success,no
55,blue-collar,married,tertiary,65238,6,dec,4224,3,16,8,success,no
30,admin,divorced,tertiary,60723,5,sep,1042,1,0,4,failure,yes
48,blue-collar,divorced,secondary,15038,17,mar,4452,7,10,3,failure,no
64,student,married,tertiary,20219,18,sep,1442,7,6,4,failure,yes
69,unemployed,divorced,tertiary,2271,12,oct,3677,2,2,7,failure,no
73,management,married,secondary,25397,5,may,4176,6,26,7,unknown,yes
32,unemployed,single,tertiary,72491,30,oct,3686,4,28,3,unknown,yes
46,admin,married,tertiary,27602,9,jun,1904,7,18,7,unknown,no
25,blue-collar,married,tertiary,52471,12,jan,2713,7,21,3,unknown,yes
22,blue-collar,married,tertiary,60150,20,sep,1877,4,2,3,failure,yes
46,technician,divorced,secondary,42227,9,sep,790,3,7,7,unknown,yes
64,retired,married,primary,95081,3,jun,224,7,7,1,success,no
85,admin,married,primary,21116,1,aug,3034,9,10,3,success,yes
93,technician,married,tertiary,4674,22,apr,4875,4,12,0,success,yes
62,unemployed,single,tertiary,15469,15,may,4232,6,28,0,unknown,no
19,management,married,primary,3446,10,may,225,7,1,7,unknown,no
44,retired,divorced,tertiary,18760,14,jul,3405,3,4,3,success,yes
53,admin,married,primary,-37,7,jul,3179,5,13,5,unknown,no
53,blue-collar,married,secondary,74002,4,jul,811,1,21,4,failure,no
43,unemployed,single,secondary,25262,26,may,2492,6,17,9,unknown,no
60,admin,married,secondary,3177,5,apr,4102,5,2,5,success,yes
44,blue-collar,divorced,secondary,9160,20,aug,4223,7,28,3,success,no
86,retired,married,secondary,5543,16,jan,4066,9,-1,3,unknown,no
37,blue-collar,divorced,secondary,80162,3,jan,4362,4,25,6,unknown,no
28,management,single,primary,37278,17,jun,4309,9,7,0,success,yes
91,unemployed,married,tertiary,27607,13,feb,246,6,21,8,success,no
55,student,single,primary,83835,6,dec,1618,5,24,9,unknown,yes
23,blue-collar,married,secondary,15221,26,mar,1827,2,14,2,unknown,no
89,management,divorced,tertiary,1323,5,apr,3445,1,21,3,success,yes
40,student,single,tertiary,50105,16,feb,420,8,29,8,success,no
64,unemployed,married,secondary,74151,11,oct,2764,6,7,4,success,no
63,retired,divorced,secondary,64968,17,jul,1371,7,10,3,success,yes
29,retired,single,secondary,21238,5,oct,4238,6,12,5,success,yes
30,unemployed,married,secondary,61830,6,jan,2188,7,13,0,success,no
79,unemployed,single,secondary,71967,10,mar,2612,9,20,9,success,no
77,admin,married,secondary,6330,21,feb,2080,5,22,0,unknown,no
60,management,divorced,tertiary,42153,1,sep,4324,1,19,4,failure,yes
93,management,divorced,secondary,6611,30,aug,2735,1,14,4,failure,no
85,unemployed,single,secondary,11872,21,mar,829,9,6,8,unknown,no
22,technician,single,tertiary,47455,10,may,3058,5,26,0,failure,no
54,technician,married,primary,32930,17,mar,849,2,8,2,unknown,yes
89,student,divorced,secondary,70022,27,nov,2780,3,12,2,unknown,no
48,student,married,tertiary,60714,3,dec,1153,1,15,3,unknown,yes
26,technician,divorced,tertiary,86794,28,nov,4940,6,1,6,unknown,yes
68,unemployed,single,primary,46716,29,dec,3829,6,29,6,failure,no
46,unemployed,married,secondary,64704,2,nov,2682,3,2,9,unknown,yes
57,student,married,secondary,-1585,29,jun,3079,3,14,4,success,yes
58,blue-collar,divorced,secondary,74441,17,may,402,7,12,8,unknown,no
28,unemployed,divorced,tertiary,68779,4,nov,2975,1,25,6,failure,no
40,technician,divorced,secondary,80069,2,feb,1602,5,23,1,failure,no
18,management,single,secondary,90556,5,oct,4722,3,22,2,failure,yes
63,unemployed,married,secondary,86444,10,aug,980,5,12,6,failure,yes
38,unemployed,divorced,secondary,69435,1,jun,2294,4,14,4,success,yes
53,blue-collar,single,primary,97142,28,mar,2384,6,6,6,unknown,no
71,student,divorced,primary,7888,26,jan,3352,9,16,8,success,yes
74,unemployed,married,primary,43299,1,may,4128,2,5,8,unknown,no
18,retired,divorced,secondary,56765,27,dec,798,8,29,2,unknown,no
80,admin,married,secondary,60714,26,nov,2595,2,26,7,success,yes
71,technician,single,tertiary,13935,4,feb,1366,4,1,5,success,yes
72,retired,single,tertiary,71002,7,feb,2938,9,4,3,failure,yes
57,student,divorced,tertiary,78631,14,sep,1262,4,29,3,unknown,no
32,management,married,secondary,74729,14,nov,2776,7,18,3,unknown,yes
38,admin,married,primary,-680,18,oct,3248,5,14,6,unknown,no
64,retired,married,primary,44032,2,jul,303,2,20,5,unknown,yes
90,admin,divorced,primary,75763,1,jun,1693,8,2,1,unknown,no
70,technician,married,secondary,15907,21,jan,2316,2,17,4,unknown,yes
26,student,married,primary,36002,22,oct,4495,3,0,4,failure,yes
91,unemployed,married,tertiary,42838,16,feb,921,7,2,5,unknown,no
69,management,married,tertiary,36912,29,nov,420,5,24,6,failure,yes
74,student,divorced,primary,-1448,22,jul,2178,3,0,7,unknown,yes
43,admin,divorced,tertiary,18140,18,mar,3809,2,5,9,unknown,no
58,retired,married,primary,83591,16,feb,1166,6,13,7,success,yes
52,technician,married,primary,46737,28,jun,4673,1,15,4,unknown,yes
80,technician,single,tertiary,31367,28,aug,539,8,12,1,success,no
42,student,single,tertiary,78634,23,aug,3499,5,9,9,success,yes
92,unemployed,married,tertiary,22061,22,nov,1460,5,15,7,success,yes
55,retired,married,tertiary,94590,24,feb,4687,2,3,5,failure,no
19,unemployed,single,primary,78336,6,jun,4739,7,21,2,success,yes
24,unemployed,single,tertiary,40124,25,dec,327,5,12,3,success,yes
51,retired,married,tertiary,43638,10,may,2859,8,15,0,success,no
34,admin,divorced,secondary,89115,2,jul,2093,5,26,2,unknown,yes
60,student,divorced,tertiary,-18,7,apr,2131,9,26,3,failure,yes
76,student,married,tertiary,33765,21,dec,2841,5,18,1,failure,yes
68,blue-collar,married,primary,80606,17,feb,351,3,19,5,failure,no
71,student,single,primary,94422,3,oct,4732,2,0,7,failure,yes
41,technician,single,secondary,52681,20,mar,3908,5,5,5,unknown,yes
42,admin,divorced,tertiary,61232,12,sep,233,5,2,9,success,no
88,retired,married,tertiary,60349,2,oct,3122,6,6,2,unknown,no
69,student,single,tertiary,98063,7,aug,4876,2,28,8,failure,yes
87,admin,divorced,tertiary,61474,17,sep,2728,5,28,3,unknown,yes
50,student,divorced,tertiary,27513,19,may,932,1,29,5,unknown,no
66,retired,divorced,tertiary,20592,12,may,1823,3,-1,3,failure,no
46,management,single,secondary,21618,9,jul,3500,3,8,3,success,no
80,retired,single,tertiary,49632,27,jul,4073,3,-1,1,unknown,yes
39,retired,married,tertiary,13409,14,jan,3345,3,-1,9,failure,no
43,retired,married,tertiary,7529,2,dec,860,8,2,1,unknown,yes
45,student,divorced,secondary,22154,21,may,1230,1,15,1,unknown,yes
66,blue-collar,divorced,tertiary,30882,4,aug,2195,6,29,1,unknown,yes
88,retired,single,secondary,42917,28,jul,4395,6,3,7,success,no
66,technician,single,primary,80488,19,nov,1476,1,12,9,unknown,no
37,technician,married,tertiary,13701,21,feb,2023,1,28,3,unknown,no
80,admin,married,secondary,73281,16,aug,2596,3,4,3,success,no
78,blue-collar,married,primary,87871,22,feb,2430,8,5,9,unknown,yes
66,admin,single,secondary,66225,17,oct,3689,6,6,9,unknown,yes
88,technician,divorced,secondary,50492,2,jan,533,4,22,2,success,no
18,unemployed,married,primary,988,17,nov,1256,5,16,4,failure,yes
30,technician,married,tertiary,33919,19,nov,1657,3,26,3,unknown,no
68,management,single,tertiary,46426,8,nov,1152,6,2,6,failure,yes
73,retired,married,secondary,50167,24,mar,3893,6,21,9,failure,yes
79,unemployed,divorced,primary,7013,20,mar,1752,6,23,6,failure,no
49,technician,single,tertiary,37113,6,jun,1683,9,23,5,success,yes
47,student,married,secondary,1574,12,dec,2978,8,25,6,success,yes
46,student,married,primary,96016,25,mar,4332,6,1,6,unknown,yes
66,admin,single,secondary,5838,30,jul,3653,2,26,7,failure,no
62,unemployed,single,primary,91899,23,aug,3013,4,21,0,success,yes
47,admin,married,tertiary,29368,18,mar,700,6,2,2,success,yes
33,retired,divorced,tertiary,30228,27,sep,4670,9,23,2,failure,yes
57,retired,single,secondary,47711,2,jan,3064,2,21,4,success,no
36,management,divorced,tertiary,44097,19,mar,4866,6,14,9,failure,yes
35,blue-collar,married,tertiary,53773,24,dec,1764,7,11,6,success,no
18,admin,divorced,primary,26639,10,mar,4318,8,27,9,failure,no
64,retired,married,tertiary,12823,25,jul,1122,9,20,5,success,yes
83,admin,married,primary,21510,29,nov,3830,5,23,3,success,yes
55,retired,married,primary,36333,30,nov,2958,9,21,5,success,yes
68,technician,married,secondary,2435,3,may,2320,9,9,6,success,yes
80,admin,divorced,primary,36418,25,apr,1422,7,22,3,failure,yes
21,technician,married,tertiary,55955,28,feb,1540,2,9,7,unknown,yes
18,admin,married,primary,57507,12,jul,4525,8,3,4,unknown,no
25,blue-collar,divorced,primary,49033,26,mar,522,5,18,2,success,yes
46,management,single,secondary,84089,16,jul,3007,8,-1,1,unknown,yes
72,student,divorced,tertiary,70972,12,oct,2498,2,12,0,success,no
20,student,divorced,tertiary,45219,8,dec,2089,7,22,3,unknown,yes
49,student,divorced,tertiary,32477,5,jul,1738,5,20,1,success,yes
27,technician,married,primary,87780,11,nov,4189,4,18,2,unknown,no
91,unemployed,married,tertiary,40721,10,feb,2533,6,17,0,unknown,no
51,retired,married,tertiary,65228,3,jul,2564,5,3,5,success,yes
72,student,single,primary,13523,27,jun,2764,6,18,3,unknown,no
49,blue-collar,married,secondary,30326,23,oct,498,9,25,4,success,no
67,student,single,secondary,40205,9,apr,2418,1,25,7,unknown,no
24,admin,married,primary,-1875,12,nov,2746,1,21,3,failure,no
25,technician,divorced,secondary,64735,6,may,484,6,4,5,failure,yes
82,unemployed,married,secondary,14375,19,dec,664,2,17,2,failure,no
74,admin,single,secondary,711,16,aug,3454,8,10,7,success,yes
84,unemployed,single,tertiary,30437,21,may,627,7,24,2,success,yes
76,admin,married,secondary,26022,23,mar,1684,6,27,6,success,no
89,admin,divorced,tertiary,7182,24,feb,731,4,25,6,failure,yes
71,management,married,secondary,91177,29,jun,4287,9,26,2,unknown,no
84,management,married,tertiary,93066,14,jun,1244,7,12,2,success,no
68,retired,married,primary,86148,28,jul,2174,7,15,9,failure,no
25,technician,divorced,primary,69531,4,aug,3874,5,28,9,success,no
51,blue-collar,single,secondary,38950,18,apr,2774,1,5,7,success,yes
52,blue-collar,divorced,tertiary,10920,10,dec,3078,2,19,2,unknown,yes
49,blue-collar,single,primary,20144,18,aug,4791,8,-1,1,success,no
63,admin,single,primary,82418,12,dec,1139,5,15,4,success,no
33,management,single,primary,565,19,jan,4659,2,4,6,unknown,yes
85,technician,divorced,primary,86909,8,jun,3117,5,2,7,success,yes
54,admin,married,secondary,51942,1,jun,2440,8,12,0,success,no
71,unemployed,married,tertiary,68560,14,mar,4118,4,6,1,unknown,no
31,management,married,primary,22691,23,sep,3202,3,16,6,success,no
72,management,married,secondary,31799,6,dec,3198,5,18,8,success,yes
65,student,married,primary,64777,14,dec,4540,7,26,2,failure,no
24,student,divorced,primary,32510,2,may,4872,2,11,7,unknown,no
91,technician,divorced,primary,85919,9,jan,2044,1,6,9,failure,yes
24,unemployed,divorced,primary,75366,29,jul,707,5,29,2,unknown,no
50,technician,divorced,secondary,26975,12,oct,432,7,29,3,success,no
40,technician,divorced,tertiary,51242,5,mar,472,8,26,1,failure,yes
36,admin,divorced,secondary,44546,2,oct,47,8,22,8,failure,yes
36,retired,divorced,secondary,90087,19,oct,1914,9,14,4,failure,yes
53,technician,married,secondary,21267,7,nov,1105,1,3,4,failure,yes
46,student,single,primary,75911,7,apr,3180,7,1,3,unknown,no
77,retired,divorced,tertiary,85049,10,jun,1890,8,11,4,success,yes
19,admin,single,primary,67939,17,aug,357,6,13,0,success,yes
18,retired,divorced,secondary,2897,26,apr,567,4,2,9,failure,no
64,blue-collar,divorced,primary,-1837,14,dec,479,7,1,9,success,yes
86,unemployed,married,tertiary,99614,27,sep,866,3,25,5,success,yes
37,retired,single,tertiary,50540,11,aug,3260,2,0,3,unknown,yes
28,technician,married,primary,80915,28,oct,4059,6,28,3,success,no
19,admin,married,secondary,28030,20,oct,1028,2,2,4,success,yes
84,unemployed,single,primary,53313,6,jun,3357,6,23,0,success,no
29,technician,married,secondary,27870,8,jul,1813,3,4,3,success,yes
37,unemployed,divorced,tertiary,27482,19,aug,3728,2,2,9,failure,no
22,student,divorced,primary,29058,30,feb,3526,8,15,2,unknown,no
54,blue-collar,divorced,tertiary,55255,19,may,4803,4,28,4,unknown,yes
55,student,divorced,secondary,90407,24,jul,1050,4,5,9,unknown,no
26,technician,divorced,secondary,62930,24,aug,126,7,16,4,success,yes
70,technician,married,primary,48500,24,may,3606,8,26,7,failure,yes
61,technician,married,primary,24379,17,mar,2378,9,20,0,unknown,no
41,management,divorced,primary,65787,24,jun,1652,8,8,2,failure,no
91,blue-collar,divorced,tertiary,21674,24,may,7,4,15,4,unknown,no
47,unemployed,married,secondary,4590,18,aug,4708,2,27,2,failure,no
76,technician,single,secondary,29432,12,sep,1284,5,21,5,success,no
31,technician,married,tertiary,38426,9,sep,4693,7,2,9,success,no
26,unemployed,married,primary,47584,23,dec,4481,2,25,2,unknown,no
57,student,married,primary,85663,24,dec,178,4,17,5,unknown,no
83,student,married,tertiary,36015,16,jun,3595,6,24,7,unknown,yes
42,technician,married,secondary,71251,18,apr,4910,8,5,3,success,yes
90,admin,single,secondary,67353,16,apr,3817,6,11,7,success,no
39,management,divorced,secondary,93029,16,sep,3254,6,1,6,unknown,no
21,student,divorced,secondary,80990,4,apr,4453,6,6,3,unknown,yes
43,admin,single,tertiary,2600,23,aug,2423,4,9,2,success,no
75,management,divorced,secondary,22690,22,sep,4797,3,14,4,unknown,no
46,technician,divorced,tertiary,31762,7,may,1750,1,18,4,unknown,no
54,blue-collar,divorced,primary,35499,1,jun,4877,2,17,6,unknown,yes
92,retired,single,tertiary,85988,24,mar,4177,2,21,0,success,yes
87,retired,single,secondary,5670,29,dec,3429,7,21,8,success,yes
35,technician,divorced,primary,84687,23,may,184,6,7,1,failure,yes
59,student,divorced,tertiary,15341,29,may,2335,8,8,8,failure,no
58,admin,divorced,tertiary,93140,20,feb,3133,9,21,8,failure,no
55,blue-collar,married,tertiary,71823,1,oct,4978,5,4,2,failure,yes
51,unemployed,married,primary,82074,8,jun,506,3,1,6,unknown,yes
34,management,married,tertiary,15015,26,sep,4125,4,18,2,success,yes
54,technician,single,secondary,63126,23,nov,1932,8,6,7,success,no
42,blue-collar,divorced,primary,53197,8,jul,1196,3,4,7,failure,yes
93,blue-collar,single,primary,47849,10,aug,3685,2,23,2,unknown,yes
44,student,single,tertiary,13852,1,feb,4181,7,6,4,success,no
74,management,single,secondary,53361,21,nov,1338,4,12,6,success,no
48,blue-collar,divorced,primary,19258,25,sep,2620,8,6,0,unknown,yes
23,student,married,tertiary,60355,21,mar,682,1,9,2,unknown,yes
57,admin,divorced,secondary,39508,29,oct,3514,8,8,0,failure,no
29,student,divorced,tertiary,65784,14,may,4367,5,24,1,failure,no
70,admin,single,tertiary,69728,14,jul,2160,2,21,6,unknown,yes
88,admin,single,primary,25410,10,apr,1729,1,8,6,success,no
27,unemployed,single,primary,7895,28,jul,1417,6,9,2,unknown,yes
62,unemployed,married,tertiary,69942,19,aug,4014,9,-1,5,unknown,yes
34,blue-collar,married,primary,31924,25,oct,18,9,13,5,success,no
43,student,married,primary,68831,29,oct,2652,9,3,1,success,yes
79,unemployed,divorced,secondary,10264,16,apr,3800,4,12,8,failure,no
63,admin,single,secondary,26038,9,may,464,6,21,7,unknown,no
81,unemployed,divorced,tertiary,7136,20,nov,690,6,24,1,failure,yes
19,management,married,tertiary,11213,16,mar,1010,5,23,3,unknown,no
71,blue-collar,single,tertiary,75608,20,may,3061,2,26,8,unknown,no
82,student,married,tertiary,99589,27,aug,4020,7,18,3,success,yes
68,student,single,secondary,25431,8,mar,162,1,6,6,unknown,yes
70,retired,single,primary,40290,7,may,1635,6,15,4,unknown,no
53,student,divorced,secondary,65539,11,oct,2746,5,2,9,success,yes
43,blue-collar,divorced,tertiary,83535,21,jan,294,5,2,5,success,yes
46,management,married,tertiary,94815,6,feb,578,8,16,0,success,no
38,student,divorced,secondary,40747,15,mar,1585,9,25,3,unknown,no
28,retired,divorced,secondary,73974,19,jan,3380,7,25,4,success,yes
57,blue-collar,divorced,tertiary,77763,14,nov,2349,8,17,5,unknown,no
28,admin,single,primary,67208,15,dec,2171,2,1,5,failure,yes
53,technician,divorced,tertiary,70994,6,nov,194,2,7,4,success,yes
76,technician,married,secondary,82075,29,sep,841,8,5,2,failure,yes
56,admin,single,tertiary,67015,24,sep,4007,6,0,1,failure,yes
71,unemployed,single,tertiary,12887,10,may,4584,8,7,6,success,no
72,student,divorced,primary,-1949,14,apr,2931,9,22,0,success,no
41,technician,single,tertiary,65695,16,may,445,9,4,4,unknown,no
39,unemployed,married,tertiary,67926,13,apr,79,6,4,3,success,no
86,technician,married,tertiary,83571,11,dec,4840,8,26,6,failure,no
73,admin,single,secondary,26491,25,may,2745,2,14,1,failure,yes
50,student,divorced,secondary,14080,3,jul,3688,8,0,7,failure,yes
53,student,divorced,primary,32880,8,nov,1860,3,27,8,unknown,yes
37,unemployed,single,tertiary,57965,28,aug,930,1,14,9,unknown,no
79,admin,married,secondary,45361,3,feb,1934,7,1,0,success,yes
90,unemployed,single,primary,85685,2,apr,4367,1,20,4,success,no
43,student,divorced,tertiary,78875,21,aug,2171,1,28,3,success,no
83,student,divorced,primary,92841,14,jul,3294,1,14,4,failure,yes
90,blue-collar,single,primary,64890,20,sep,4781,4,10,8,failure,yes
90,unemployed,married,primary,69156,29,may,4747,4,1,2,failure,no
57,blue-collar,single,primary,67290,21,jun,4392,6,9,0,success,no
34,admin,married,primary,14593,22,nov,2834,3,9,2,success,yes
18,management,married,primary,14167,15,aug,4716,6,21,3,failure,no
78,technician,single,primary,86091,3,dec,1654,7,28,1,success,yes
60,blue-collar,single,tertiary,31005,1,nov,2928,1,14,0,unknown,yes
59,technician,married,tertiary,63471,15,may,3603,6,3,0,success,no
42,retired,married,primary,48728,20,sep,1672,1,18,7,failure,yes
56,admin,married,tertiary,6691,22,apr,4350,7,6,3,success,no
52,management,married,primary,7756,2,aug,1287,5,9,1,unknown,no
20,retired,divorced,tertiary,34308,18,dec,2726,4,9,9,failure,yes
61,retired,single,secondary,62079,1,mar,4124,1,16,2,success,yes
68,student,married,primary,63524,9,may,1058,9,17,7,success,no
29,retired,single,secondary,58466,3,aug,4844,7,8,5,success,yes
36,admin,married,primary,7327,2,oct,601,2,26,7,success,no
61,blue-collar,single,primary,26520,4,dec,3274,4,2,9,unknown,no
76,admin,single,secondary,41308,16,jul,2978,4,26,4,success,yes
66,blue-collar,married,secondary,92436,22,jan,130,8,8,2,success,yes
78,retired,married,secondary,14533,1,dec,110,2,12,5,failure,yes
34,retired,single,primary,95417,9,apr,2571,5,4,9,unknown,yes
91,management,single,secondary,91318,25,feb,3359,8,29,7,failure,yes
74,blue-collar,single,secondary,42488,8,feb,2734,6,3,4,unknown,yes
72,retired,divorced,tertiary,65160,6,jul,830,4,13,4,success,no
64,student,married,tertiary,38429,20,dec,665,5,3,2,unknown,no
29,technician,divorced,secondary,49726,18,dec,1066,2,21,2,failure,no
79,management,divorced,secondary,84348,16,mar,4970,5,22,7,success,yes
25,admin,married,secondary,71065,8,mar,3788,3,4,0,failure,yes
38,management,married,secondary,18653,23,jun,1317,3,29,3,failure,yes
87,technician,divorced,tertiary,54921,28,jun,284,7,28,8,unknown,no
89,blue-collar,married,primary,91396,30,jan,4659,3,17,5,success,yes
42,admin,single,secondary,11654,4,jan,4114,4,18,5,failure,yes
29,admin,single,secondary,108,3,nov,3578,7,28,9,failure,yes
32,blue-collar,divorced,tertiary,67483,15,jun,4642,3,15,6,unknown,no
76,unemployed,divorced,secondary,5899,6,jul,47,2,12,6,failure,no
43,unemployed,married,secondary,11372,1,sep,1768,7,9,5,success,no
43,management,married,tertiary,35682,18,apr,4314,5,12,8,success,yes
64,retired,divorced,secondary,93909,23,oct,4861,1,3,7,unknown,yes
49,unemployed,divorced,secondary,65799,11,jun,3259,8,11,7,failure,no
27,management,single,tertiary,89724,3,dec,2078,3,29,1,unknown,no
33,unemployed,single,primary,34583,30,mar,2306,7,10,6,unknown,no
88,technician,married,secondary,27295,13,nov,3415,6,24,0,failure,yes
34,student,single,secondary,64113,17,apr,4403,6,22,9,success,yes
40,retired,married,primary,78565,18,sep,3142,8,17,7,unknown,no
43,management,married,tertiary,47574,26,jan,567,4,8,2,success,no
24,student,married,primary,99067,26,may,4326,4,11,8,success,yes
31,student,single,secondary,62934,14,nov,4065,3,13,4,failure,no
24,unemployed,divorced,primary,28066,25,jul,81,1,18,6,failure,no
26,blue-collar,divorced,tertiary,81149,7,mar,3005,3,11,6,success,no
65,technician,single,secondary,83096,7,feb,216,1,2,8,success,no
89,technician,divorced,tertiary,6945,14,nov,334,6,20,1,success,yes
76,technician,married,tertiary,27418,26,feb,558,8,7,3,unknown,yes
56,retired,divorced,primary,80607,24,jan,2911,3,24,7,success,yes
35,admin,single,primary,47874,15,may,873,4,17,4,unknown,no
76,retired,divorced,tertiary,15130,12,mar,752,5,18,4,failure,no
34,management,married,tertiary,84257,12,nov,3761,7,20,2,failure,yes
31,student,married,secondary,66248,8,dec,593,6,20,4,success,no
48,student,single,tertiary,80627,16,jul,2751,2,5,6,failure,yes
41,admin,single,tertiary,79393,9,jan,1678,7,13,3,success,no
77,management,single,primary,39394,2,sep,3897,8,15,7,unknown,no
62,admin,married,tertiary,47635,14,feb,4648,1,12,5,success,no
20,student,divorced,tertiary,97837,24,aug,1482,6,12,5,failure,yes
54,unemployed,divorced,primary,80089,24,oct,782,9,7,5,success,yes
60,retired,single,secondary,15404,29,apr,2134,7,14,3,failure,no
57,technician,divorced,primary,70629,16,jun,3586,5,0,2,unknown,no
72,student,divorced,primary,11156,5,sep,3794,9,12,9,failure,yes
56,blue-collar,single,tertiary,53618,5,jul,4608,2,2,5,failure,yes
32,technician,single,tertiary,47999,20,aug,983,7,1,5,failure,yes
21,student,married,secondary,11785,30,jul,4682,9,1,1,failure,no
42,retired,married,tertiary,46359,21,feb,742,2,9,9,failure,yes
30,admin,married,secondary,88807,18,sep,4544,6,3,8,failure,no
50,unemployed,married,secondary,12694,18,jan,4683,9,14,3,success,yes
33,unemployed,divorced,secondary,34114,5,feb,4355,3,21,3,unknown,no
59,technician,divorced,secondary,67549,11,mar,3608,8,27,9,success,yes
83,retired,married,tertiary,55230,13,mar,3271,5,26,7,unknown,yes
72,unemployed,married,primary,30799,3,oct,2510,7,21,2,success,yes
59,unemployed,single,primary,88288,17,apr,4010,3,28,9,unknown,yes
51,management,divorced,tertiary,9156,25,may,93,8,28,6,unknown,yes
47,blue-collar,divorced,tertiary,8304,18,jun,1375,2,21,6,success,yes
30,technician,married,secondary,38645,14,jan,1131,8,17,1,success,yes
30,admin,divorced,tertiary,36938,12,aug,2516,2,7,2,unknown,no
35,unemployed,single,primary,54982,14,jun,4963,7,20,3,failure,no
49,management,single,tertiary,75614,26,oct,90,2,9,1,unknown,no
56,retired,divorced,tertiary,89614,18,sep,1479,7,10,8,failure,yes
63,unemployed,married,secondary,315,30,may,954,1,25,9,unknown,no
46,blue-collar,divorced,secondary,90756,20,jul,2431,6,24,5,failure,no
79,admin,single,secondary,95267,2,nov,22,7,25,0,success,no
79,retired,married,secondary,96369,7,apr,1725,4,6,0,success,yes
74,retired,divorced,primary,10420,15,jun,4118,1,12,7,failure,yes
33,technician,married,tertiary,16312,28,jun,3305,6,29,5,failure,yes
73,unemployed,married,tertiary,19395,10,apr,1721,4,28,9,failure,yes
27,technician,single,secondary,38301,15,jun,1440,3,15,6,failure,yes
47,admin,married,primary,44972,17,aug,4670,4,18,5,success,no
42,unemployed,divorced,primary,61294,11,nov,2150,6,13,1,unknown,no
22,student,married,tertiary,78853,2,may,2547,5,13,2,success,yes
82,unemployed,married,secondary,46225,27,feb,4923,2,21,7,unknown,no
66,student,divorced,tertiary,80504,21,sep,3554,2,10,3,success,no
20,retired,single,tertiary,20854,18,nov,188,3,7,7,failure,no
62,technician,single,primary,68780,25,apr,459,6,10,2,success,no
31,blue-collar,divorced,primary,28929,4,apr,2236,1,17,1,success,yes
47,unemployed,divorced,tertiary,55103,9,nov,4446,7,10,6,failure,yes
85,blue-collar,single,secondary,61620,27,jul,580,8,9,0,failure,no
35,unemployed,married,secondary,87590,28,oct,2161,7,26,2,success,yes
79,retired,divorced,tertiary,82124,17,oct,4715,3,4,1,success,no
54,technician,married,tertiary,42590,17,jun,1531,6,6,4,unknown,yes
42,admin,divorced,secondary,98196,17,apr,1368,4,9,1,unknown,no
65,admin,single,secondary,70554,30,jun,2434,5,1,9,success,yes
82,admin,married,secondary,8621,16,mar,2991,3,14,4,unknown,no
70,unemployed,married,tertiary,-1027,20,jul,2902,5,4,2,failure,yes
90,unemployed,divorced,primary,56786,25,jun,2530,6,7,8,success,no
32,blue-collar,married,secondary,35097,8,mar,472,8,7,9,success,no
66,technician,divorced,secondary,32245,23,jan,858,6,4,8,unknown,no
85,unemployed,single,secondary,63211,15,dec,2989,9,3,7,success,no
29,technician,married,tertiary,52841,1,oct,2440,4,-1,4,success,no
76,blue-collar,divorced,primary,23346,19,may,3706,2,1,9,failure,yes
54,unemployed,married,primary,69980,25,oct,1712,9,29,6,success,yes
78,admin,divorced,secondary,88417,15,feb,515,3,1,1,unknown,no
60,admin,divorced,tertiary,47153,9,jul,2393,7,10,2,failure,no
87,retired,divorced,primary,88382,5,jul,1375,4,2,1,unknown,yes
56,student,single,tertiary,74942,16,apr,3669,1,19,9,success,no
73,management,married,primary,88975,28,jun,2390,8,14,0,unknown,yes
80,student,single,secondary,3972,13,jan,3262,4,9,2,unknown,no
63,unemployed,divorced,tertiary,46063,16,feb,4638,6,6,3,failure,yes
28,technician,divorced,secondary,63488,22,jun,2866,7,27,8,success,no
79,unemployed,single,primary,55055,11,feb,1059,8,25,1,failure,no
94,technician,single,primary,62366,13,dec,756,2,7,8,success,no
42,technician,married,secondary,8931,6,dec,3495,9,26,0,failure,no
88,student,divorced,primary,5702,26,nov,187,3,28,8,success,no
69,management,single,secondary,82834,20,apr,2381,1,12,5,failure,no
21,retired,divorced,secondary,19540,17,apr,4578,2,21,7,success,yes
76,student,divorced,secondary,55450,5,oct,2714,8,27,2,failure,no
89,management,married,primary,95576,29,sep,295,6,24,7,unknown,yes
37,admin,married,tertiary,63252,17,oct,3533,1,20,8,failure,no
